amfi_code,sector_hhi
100016,1805.8807999999997
100033,2276.4744
101206,1800.4224999999997
101207,2227.2651
102885,1807.1201999999998
102886,1240.2024000000001
102887,2513.8255
118632,2072.5894000000003
118633,2212.0031999999997
118634,1602.9924
118635,2374.9677
119092,2967.6908999999996
119093,1842.3320000000003
119094,1751.0024999999998
119095,1595.8229000000001
119551,1424.9103999999998
119552,2275.0834999999997
119598,1880.8485000000003
119599,2323.612
120503,1821.6750000000002
120504,2212.1303
120505,2386.9504
120506,2314.6433999999995
120841,2158.9314999999997
120842,1620.6189
120843,1362.0616
125497,1724.1088
125498,2531.5500000000006
148567,2012.4815
148568,2180.8585
148569,2549.9193999999998
149322,1826.9533
149323,2410.7663999999995
149324,1887.0081999999998
