amfi_code,historical_var_95_pct,cvar_95_pct
100016,-3.7771688774994483,-8.465826208914768
100025,-1.0316606208010068,-3.139554914454245
100033,-3.2162325555905964,-12.286303258380798
101206,-4.149359218930071,-11.129216266073135
101207,-6.452700735421366,-12.869860476471787
101208,0.0,-0.17460256475141292
102885,-2.4622890515456284,-8.527576506449517
102886,-5.294566062703907,-9.790176382566544
102887,-3.268164737759735,-11.258074968086513
118632,-3.471768320578349,-11.7795839672578
118633,-3.3485040794372476,-9.181175217930237
118634,-5.983335611640855,-12.56353337506945
118635,-2.191422353488841,-8.74615837194902
118636,-1.0972204388529427,-3.841526363804926
119092,-3.5979248682494873,-7.443978372095296
119093,-3.8185571717833695,-8.750286361863944
119094,-4.657800801038832,-14.3529432248998
119095,-7.202227614757773,-13.874712929965623
119120,-0.9210726042486372,-3.276302372477351
119551,-2.924012127648302,-11.500168123985453
119552,-2.819875057551836,-9.687556811639201
119598,-7.716712499793184,-17.066946576362305
119599,-7.736931675481448,-14.148783202934682
120503,-3.0185975108136063,-10.422691673641905
120504,-3.82138056655896,-11.95811895396665
120505,-3.4340724744632443,-15.280827352865074
120506,-3.5733393961058844,-9.239536699419885
120507,0.0,-0.19892380929169462
120841,-3.4971394075240547,-9.181205141111649
120842,-4.771114417388815,-8.919841438026632
120843,-3.8545592337151793,-14.68255968003774
120844,0.0,-0.1890499255390489
125497,-3.7549756174668283,-11.436931442205395
125498,-4.423013408305899,-9.619452014603652
148567,-1.4142990579967727,-13.47354520890675
148568,-3.2069948055634745,-11.563044468055201
148569,-4.218970148622275,-13.791495435636834
149322,-3.213586596816481,-9.428967292871587
149323,-4.501745651959238,-12.987629116896144
149324,-6.783524502114987,-16.285899736774276
